City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descp
0,Castro,BR,-24.79,-50.01,57.49,87,100,10.78,overcast clouds
1,Kodiak,US,57.79,-152.41,35.6,74,90,5.82,overcast clouds
2,Taoudenni,ML,22.68,-3.98,91.74,11,100,11.1,overcast clouds
3,Alghero,IT,40.56,8.32,64.4,82,20,5.82,few clouds
4,Rundu,NA,-17.93,19.77,89.8,25,80,8.57,broken clouds
5,Albany,US,42.6,-73.97,34.0,88,100,7.27,overcast clouds
6,Saint George,US,37.1,-113.58,48.2,31,1,3.56,clear sky
7,Rikitea,PF,-23.12,-134.97,75.13,70,66,5.75,broken clouds
8,Muhororo,UG,0.94,30.76,63.97,88,100,0.92,overcast clouds
9,Cacapava Do Sul,BR,-30.51,-53.49,65.39,49,0,8.21,clear sky
10,Arraial Do Cabo,BR,-22.97,-42.03,78.8,83,75,14.99,broken clouds
11,Ushuaia,AR,-54.8,-68.3,48.2,76,75,29.97,broken clouds
12,Hovd,MN,48.01,91.64,30.11,80,90,4.03,overcast clouds
13,Surman,LY,32.76,12.57,70.74,59,15,13.2,few clouds
14,Puerto Ayora,EC,-0.74,-90.35,77.0,73,40,11.41,scattered clouds
15,Montrose,US,38.42,-108.27,46.0,74,1,4.7,clear sky
16,Ovsyanka,RU,55.96,92.55,30.2,92,75,11.18,light shower snow
17,Sayyan,YE,15.17,44.32,58.37,35,0,6.42,clear sky
18,Ilulissat,GL,69.22,-51.1,17.6,67,75,2.24,broken clouds
19,Abu Dhabi,AE,24.47,54.37,84.2,62,0,6.93,clear sky
20,Tolbazy,RU,54.02,55.88,33.8,74,0,6.71,clear sky
21,Hilo,US,19.73,-155.09,75.2,88,90,3.36,overcast clouds
22,Yellowknife,CA,62.46,-114.35,17.01,95,100,9.46,overcast clouds
23,Magnitogorsk,RU,53.42,59.05,35.6,59,84,11.18,broken clouds
24,New Norfolk,AU,-42.78,147.06,45.0,69,3,2.21,clear sky
25,Bethel,US,41.37,-73.41,35.6,93,90,11.41,light snow
26,Podor,MR,16.65,-14.96,102.47,9,86,10.31,overcast clouds
27,Bluff,NZ,-46.6,168.33,55.99,97,100,4.0,light rain
28,Saskylakh,RU,71.92,114.08,-1.57,86,47,6.87,scattered clouds
29,Victoria,HK,22.29,114.16,75.99,77,56,16.28,broken clouds
30,Mataura,NZ,-46.19,168.86,55.99,97,100,4.0,moderate rain
31,Busselton,AU,-33.65,115.33,64.0,50,14,3.51,few clouds
